Timestamp,Speed_KMH,Throttle,Brake,Steer,Gap,Status
1773472435.855,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.921,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472435.993,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.071,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.145,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.212,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.277,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.347,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.415,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.486,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.555,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.625,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.699,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.759,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.830,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.899,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472436.969,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.041,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.108,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.182,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.252,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.321,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.389,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.455,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.526,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.590,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.655,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.726,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.804,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.874,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472437.943,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.014,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.087,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.154,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.224,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.293,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.365,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.437,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.509,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.581,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.655,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.718,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.785,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.851,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.922,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472438.997,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.073,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.145,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.213,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.279,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.353,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.415,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.488,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.558,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.626,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.697,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.760,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.827,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.896,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472439.962,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.032,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.100,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.170,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.245,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.314,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.383,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.451,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.519,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.585,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.653,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.724,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.796,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.863,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472440.935,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.001,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.076,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.167,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.228,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.290,0.01,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.359,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.427,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.498,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.564,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.637,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.707,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.776,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.853,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.925,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472441.993,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.062,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.131,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.200,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.267,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.332,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.399,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.467,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.536,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.604,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.679,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.739,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.805,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.867,0.00,0.00,1.00,0.03,50.0,RED LIGHT
1773472442.932,0.00,0.00,1.00,0.03,50.0,RED LIGHT
